language,location,message
en,,"#Friends please donate to the restoration of the iconic Notre-Dame Cathedral in Paris, France. The Friends of Notre… https://t.co/voNbkXm84r"
en,anywhere my ❤ is,RT @khunyarose: I'd not rule out anything. It's very obvious Fr govt wants to put out speculation of terrorism by declare within hours that…
en,Israel,RT @khunyarose: I'd not rule out anything. It's very obvious Fr govt wants to put out speculation of terrorism by declare within hours that…
en,,"RT @FlawsomeSelf96: Unbelievable! The rooster atop #NotreDame's weathervane, which was thought lost when the spire collapsed, was found lyi…"
en,Manhattan,"@DLVLK @studiotodorovic 😌""#NotreDameDeParis: The Rose Windows Survived the Fire""
h/t @g_annesophie

https://t.co/bbeSsT1BMc"
en,Earth,"RT @Anonantigov: A few hours later, Sécurité Civile Fr, the official account of the French General Directorate for Civil Security and Crisi…"
en,,RT @EWTN: May Our Lady's sorrow be turned into joy once more with the cause of the resurrection of the Notre Dame Cathedral. For Fr. Pascha…
en,"Marietta, GA",People fr mad at French millionaires for wanting to rebuild the notre dame????
en,,"RT @HenryMakow: ""The fire protection set up in the cathedral was at its highest level""

""The fire could not start from a short circuit, fro…"
en,anywhere my ❤ is,I'd not rule out anything. It's very obvious Fr govt wants to put out speculation of terrorism by declare within ho… https://t.co/iTuqON7vfg
en,,"RT @imperiumsilver: I heard this outside of my window and found this. Notre Dame is being serenaded. Honestly, it’s more moving than I coul…"
en,Frankrijk,RT @ABC: NOTRE DAME FROM ABOVE: Drone footage shows extent of damage inflicted upon Paris' iconic Notre Dame cathedral by devastating fire…
en,"West Coast, USA","This is a fantastic interview (in French) with father Fournier, who saved some of the treasures at Notre Dame. h/t… https://t.co/3MrMA1fqGl"
en,Luxembourg,Notre Dame Fire: Bells Of All Of France's Cathedrals Ring In Unison (FR BFM) https://t.co/LJR3f8nbKc https://t.co/HTs1cN7vMM
en,,@ShadesOfSaigon fr when my mom told me notre dame was on fire i said ....ok that sucks i guess
en,"Plano, TX",RT @NotreDame: The bells of the @ndbasilica tolled 50 times — representing the 50 Hail Marys of Our Lady’s rosary — at 6 p.m. today to mark…
es,"Sevilla, Andalucía",RT @YannLeGales: Disney promet 5 millions de dollars pour reconstruire Notre-Dame https://t.co/Zxlsl1LjXY
en,meh deh weh meh deh ,RT @selenasprocket: Y’all is really donating money to save Notre Dame but did NOTHING about Wannado City? Is y’all fr?
en,"Wales, United Kingdom","RT @RorateCaeli: Wonderful!

The copper Rooster that topped the collapsed spire of Notre-Dame de Paris has been found and the debris, with…"
en,"McNichols Campus, Detroit, MI","‘Processing the Notre-Dame Fire with Detroit Mercy Architecture Professor Fr. Gilbert Sunghera, SJ’ on #SoundCloud… https://t.co/MSRgIm4Kob"
fr,Novalaise,"Macron’s pledge to restore Notre-Dame in five years is impossible, experts say https://t.co/JuYACACG0G"
en,Dublin Irl.,"RT @FlawsomeSelf96: Unbelievable! The rooster atop #NotreDame's weathervane, which was thought lost when the spire collapsed, was found lyi…"
es,Santiago de Chile,"RT @RorateCaeli: Wonderful!

The copper Rooster that topped the collapsed spire of Notre-Dame de Paris has been found and the debris, with…"
en,NJ,"RT @HenryMakow: ""The fire protection set up in the cathedral was at its highest level""

""The fire could not start from a short circuit, fro…"
en,port talbot - pays de galles,RT @IlltudDafydd: A percentage of the sales of Stade Francais' shirts next season will given to the re-building efforts of the Notre Dame…
ru,"Belarus, Minsk","Okay, here is the information how you can donate to Notre-Dame reconstruction https://t.co/3tfQ5h21Fe"
en,,"RT @tambourine: the horrible Notre Dame news has also made me think of the historic mosques that have recently been destroyed in China, as…"
en,,"RT @FlawsomeSelf96: Unbelievable! The rooster atop #NotreDame's weathervane, which was thought lost when the spire collapsed, was found lyi…"
en,,RT @dearsusanbranch: Want GOOD NEWS darling girls? One BILLION donated so far to rebuilding Notre Dame!!! One Billion Fifty counting me!!!…
en,"Los Angeles, California",Friends of Notre-Dame de Paris is accepting donations of any size. https://t.co/Q1LO1r6e7w @notredameparis #donate https://t.co/P8CBSQbMUo
en,"Ospreylia, Cardiff, UK",RT @IlltudDafydd: A percentage of the sales of Stade Francais' shirts next season will given to the re-building efforts of the Notre Dame…
en,,RT @ArchDaily: France Announces Competition to Redesign the Spire of Notre Dame https://t.co/a3ZKNeOxP5
en,"Pendleton, IN",RT @NotreDame: “We join in prayer with the faithful of the Cathedral of Notre-Dame in Paris and all of France as they begin the work of reb…
en,,RT @UK_FranceFR: An incredible wave of solidarity has risen over the past few days to save and rebuild #NotreDame. We just want to thank yo…
fr,"Paris, France",Millions in Notre-Dame Donations Pour In as France Focuses on Rebuilding https://t.co/5d0uhie4Ne https://t.co/KFCX3VlFyQ
es,"Barcelona, Catalunya.",RT @JurjigisBcn: View the map and zoom in on Notre Dame yourself at the BnF:https://t.co/fFlfu5Rq9N
fr,,"Vanguard - We’re shocked at Notre Dame destruction – Onaga, Enugu Catholic Bishop https://t.co/4CpmIyMMkg https://t.co/6QGNxaFnj3"
en,Midwest !!!!,RT @NotreDame: The bells of the @ndbasilica tolled 50 times — representing the 50 Hail Marys of Our Lady’s rosary — at 6 p.m. today to mark…
en,"Washington, DC","Rev. Gilbert Sunghera, SJ, assoc. professor of architecture @UDMDetroit, discussed the meaning of #NotreDame in a n… https://t.co/hEhMDhw7c6"
en,"Le Breuil-sous-Argenton, France",RT @RomainDelaume: I’ll be live on @lbc with @IainDale tonight at 7:35pm UK Time to talk about @DartagnansFR international crowfunding camp…
fr,"Les Trois-Moutiers, France",RT @RomainDelaume: I’ll be live on @lbc with @IainDale tonight at 7:35pm UK Time to talk about @DartagnansFR international crowfunding camp…
fr,France,RT @RomainDelaume: I’ll be live on @lbc with @IainDale tonight at 7:35pm UK Time to talk about @DartagnansFR international crowfunding camp…
en,CA.,"RT @business: “The Hunchback of Notre-Dame,” by Victor Hugo, jumped to first place on the bestseller list of Amazon France after a fire rav…"
en,United States,@jxs606 @chrisnettle @IPCC_CH @cz_binance While we believe that saving an art piece as important and historic as th… https://t.co/B4CrOa6GSY
es,"Barcelona, Catalunya",View the map and zoom in on Notre Dame yourself at the BnF:https://t.co/fFlfu5Rq9N
fr,,"RT @r_demiranda: Hey french people. Despite how heartbroken I was over Notre Dame recently, I do not think an old building should receive y…"
es,"Cantabria, España",RT @RomainDelaume: 56 countries already engaged in the crowdfunding campaign launched by @DartagnansFR for @notredameparis. From the bottom…
fr,"Florida, USA",RT @assassinscreed: In solidarity with everyone moved by Monday's events we’re donating to the restoration for Notre-Dame &amp; giving you the…
fr,France,Notre-Dame de Paris Medal € 50 donated for the reconstruction of Notre-DameLimited edition of 999 copiesMedal ... https://t.co/MZXVeEsrlJ
en,Luxembourg,Notre Dame Fire: Relics Found Including The Spire's Rooster (FR M6) https://t.co/Bm3aOGrKBp https://t.co/z9JbeZzxOI
en,,"RT @FlawsomeSelf96: Unbelievable! The rooster atop #NotreDame's weathervane, which was thought lost when the spire collapsed, was found lyi…"
en,"San Jose, CA","RT @FlawsomeSelf96: Unbelievable! The rooster atop #NotreDame's weathervane, which was thought lost when the spire collapsed, was found lyi…"
en,High Desert,Watch @euromaestro's broadcast: Notre Dame return with Euro #euroscope #fb #travel Paris Fr… https://t.co/gMSEMcDeUn https://t.co/jtOstRrikh
en,Central California,Watch @euromaestro's broadcast: Notre Dame return with Euro #euroscope #fb #travel Paris Fr… https://t.co/zTdEQpekMC https://t.co/j2CGYCa7j7
en,,undefined https://t.co/7LeazMkHor
it,Milano,"RT @nicolas_veron: It appears that #NotreDame’s three great roses have survived the heat of yesterday’s fire, perhaps not intact but still…"
en,Amsterdam,"RT @FlawsomeSelf96: Unbelievable! The rooster atop #NotreDame's weathervane, which was thought lost when the spire collapsed, was found lyi…"
en,,Vintage memories of Notre-Dame https://t.co/dqY3mkvjIX
fr,"Paris, France",Le fact-checking qui casse le game https://t.co/XQJjqxw9du
fr,"Rhône-Alpes, France",RT @nowthisnews: 'I hope that its foundations are strong. I hope that our foundations are even stronger.' — Teen climate activist Greta Thu…
en,"Minnesota, USA","RT @bitcoinpointfr: Let’s rebuilt Notre Dame, block by block : Notre Dame des Cryptos (@DameCryptos) is a community initiative to gather cr…"
en,Toronto,Received my first scam email re fundraising for Notre Dame today. That it came from Fr. Tom Hanks was my first clue… https://t.co/Nsq0rHqEsG
en,"Missoula, MT","RT @FlawsomeSelf96: Unbelievable! The rooster atop #NotreDame's weathervane, which was thought lost when the spire collapsed, was found lyi…"
