language,location,message
en,"New Delhi, India","RT @technocrypto: Over €800,000,000 has been pledged to restore Notre-Dame Cathedral. At current rates this money could save approximately 20,000,000 YEARS (not a typo) of human life, more time than has ever been spent by humans inside the Cathedral in its whole existence. https://t.co/A0z3CsNpF2"
en,"New Delhi, India","RT @technocrypto: Over €800,000,000 has been pledged to restore Notre-Dame Cathedral. At current rates this money could save approximately 20,000,000 YEARS (not a typo) of human life, more time than has ever been spent by humans inside the Cathedral in its whole existence. https://t.co/A0z3CsNpF2"
fr,,"RT @DoubleCordon: ""Montant : 3.35€ 
Arrondir à 4€ pour rebâtir Notre Dame de Paris avec la fondation de France ?"" https://t.co/wljgEM6Jhu"
es,Bogotá,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,,Vive La Notre Dame! https://t.co/Zp1qfn1pN2
en,"North Carolina, USA","@girlsreallyrule, great news about ""Survivor Bees"" at Notre Dame! https://t.co/xuRYRQNgbQ"
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,"Ohio, USA","RT @StormIsUponUs: Columbine shooter v2 was a dud. All that expense pumping drugs and experiments into her and she suddenly self-terminates. The forest of his first tweet (""Questions"") was Notre Dame, what are the 3 saplings (""Answers"")?"
fr,Paris,"RT @xavier_alberti: - Je fais don de 100 millions pour Notre-Dame.
- Salaud, c’est pour la défiscalisation !
- Je renonce à l’avantage fiscal !
- Hypocrite c’est une opération de com !
- Dorénavant je ferai mes dons de façon anonyme.
- Ca prouve bien que vous avez quelque chose à cacher !
#Fatigue https://t.co/i2mNYKD5hQ"
es,Santiago de Chile,RT @portino: @CNNChile #Piñera antes pensar en Notre Dame puede darse una vuelta por el cerro Barón en Valparaíso (a 5 minutos del Congreso) y visitar la Iglesia San Francisco que ha sufrido dos incendios y no ha podido ser restaurada. A lo mejor se le ocurre alguna donación.
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,"South Carolina, USA",RT @The_Trump_Train: Who else thinks the Notre Dame Cathedral was burned down terrorists?
fr,"Dijon, France","RT @Causeur: ""Les églises et les cathédrales de Babtous, nous musulmans, on s’en fout. A la limite, ça me réjouit! Qu’on s’occupe de nos frères en Palestine et qu’on arrête avec Notre-Dame de Paris"" https://t.co/wIGw51K6Sj"
fr,,RT @anne_mariani: Pourquoi brigitte macron ne donne pas son énorme SALAIRE pour la reconstruction de notre DAME ça ferait 500.000 euros en plus au lieu de  nous raconter des inepties devant la cathédrale ?    totalement incompréhensible a croire qu elle a fumé la moquette de l'Elysée
en,United States,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
es,,"Yo lo repito por si cuela. AC: Unity está gratuito con lo del incidente de Notre Dame, hasta el 26 de abril. Si alguien lo quiere y no puede pillarlo, dadme un toque.
Además, ya de paso, reconocer el acto de Ubisoft: ha donado 500.000€ y los planos pa la reconstrucción."
en,"South Carolina, USA",RT @realTonyBurgess: Do you believe the Notre Dame fire was an accident ?
en,"Lumut, Perak","RT @BirdsOfJannah: While the world mourns for the Notre Dame, China is secretly destroying centuries old Mosques and Churches, some of which were architectural heritage sites, and millions of Muslims are bring put in concentration camps #NotreDame https://t.co/R1TwvlH8Gn"
en,"London, England",RT @hzsoul1: Actually can not believe our government is raising money for the Notre Dame when a family of grenfell survivors have been kicked out their TEMPORARY home as the government can’t fund them anymore. Absolutely ridiculous.
en,North Jackson | Akron,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
es,"Carabobo, Venezuela","RT @daoryebba: @GiuseppeNoc @MovilupPolitic @xxT1KExx @Noralex06 @DacervantesP @maruvilla @OviedoFanny @MyrianeLibre @TRUESTEEL3 @NOmasCNE @NENA7ESTRELLAS @_Gabbyta_ @LatAmFr @omarbula @Marcos54909144 @OrhVenezuela @magepetorr @geopolytica @habalianelie @EleonoreNemethM @RICHINFE @Panama6715 @MIRANDALIBER24 @aba261 @nejoviro @Purpura007 @genova1956 @MagalyPatio3 @Adelkiiis @alenwriter @myriamwinner1 @FernandoAmandi @esferaceleste @FernandoCorreaJ @MiguelABernalV @estebangerbasi @Movil @alekboyd @linaresfulo @realCarola2Hope Mi opinion, no debe descartarse q incendio d Notre Dame fue intencionado, una catedral como esa no se incendia d esa manera facilmente — muy posible hubo manos malintencionadas. Sin embargo, pienso q el actual gobierno globalista d Macron procedera ‘con cuidado’ politicamente..."
es,"La Araucanía, Chile","RT @FLagos_Neumann: En Chile muere un niño de 4 años esperando un trasplante de corazón y su Presidente Sebastián Piñera quiere donar cobre y madera para la reconstrucción de Notre Dame.
¡Exigo una explicación!"
en,,"RT @BillyArmagh: Before the news cycle moves on, please notice and absorb this fact: in a few hours, three billionaires shrugged, yawned, and dropped $752,652,500.00 to rebuild Notre Dame, and that was spare change.

Imagine what we’d build if we taxed our resources back from billionaires."
en,"Houston/Lubbock, TX","RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,"Auburn, AL",RT @TrueFactsStated: ‘It’s a miracle’: hundreds of thousands of bees survive Notre Dame fire | Notre Dame | The Guardian https://t.co/va0h6TTvPp
fr,France,"RT @etiennebft: Emmanuel Macron : Il n'y a pas d'argent magique !

Notre-Dame : *brule*

L'argent magique : https://t.co/OCmrT3B8OH"
es,Beatriz Eugenia Andrade Iturribarría.,"190. Como lo anunciamos en los tuits 74 y 132 de este hilo...

Fuente: https://t.co/ft222h1IWU https://t.co/k1y63DY337"
en,Planet Earth,"RT @NewsHour: The resident beekeeper at Notre Dame Cathedral in Paris said some 180,000 bees — who were living on the roof — have been found alive. Their three hives somehow escaped the flames. https://t.co/6b9fDXMeCa"
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,"rockfield, ky","RT @ringfox1: $1 billion raised for the  Notre Dame disaster. I get the history behind the Cathedral.BUT.Why can we not raise that sort of money for under privileged, poor, starving, homeless kids and people at home and around the world? How can a building be more important than those in need?"
fr,,RT @lunaseyiam_91: @couchloukoum Ptdrrr « je souhaiterais qu’elle s’écroule pour de bon notre dame »😭😭
pt,Manaus,"RT @AdrianoGianturc: Esta história das doações dá nojo:

-1francês doa dinheiro p Notre-dame e aqui criticam os brasileiros pq não doam

-UFRJ não aceitava doações pq é contra o capital

-1brasileiro doou p a USP e foi xingado.

-1brasileira doa p Notre-dame e é xingada

Doe mais e problematize menos"
ja,,"RT @nntaleb: Obama, many of the destroyed Syrian churches and monuments PRECEDE Notre Dame. https://t.co/Bm7Va4BDS0"
fr,Avignon/Aix en Provence/Québec,"RT @Sable_60CH: Aujourd’hui, maman est morte. Ou peut-être hier, je ne sais pas. J’ai reçu un télégramme de l’asile : “Nous sommes ce peuple de bâtisseurs. Nous rebâtirons la cathédrale Notre-Dame et je souhaite que cela soit achevé d’ici 5 années.” Cela ne veut rien dire. C’était peut-être hier"
pt,,"RT @ParisAMDParis: Fred Stein
Notre Dame de Paris    1944 https://t.co/P1dB2wWRy2"
ko,Hell-Chosen,"RT @Vulpes_No9: 노트르담 화재 원인에 대한 흥미로운 기사...
일부 차단기와 소켓은 루이 12세 이후 업데이트가 되지 않았고, 성당 건설시기에 사용된 목재 퓨즈가 아직도 사용되고 있다는 조사관의 코멘트...
도대체 연간 수백억의 입장료 받아서 어디에 다 쓴거냐...
https://t.co/sDuSmMmqw2 https://t.co/W8sZSWmKWh"
pt,"Rio de Janeiro, Brasil","RT @gerdwenzel: Franceses injuriados com a repentina generosidade seletiva dos bilionários. ""Victor Hugo agradece aos generosos doadores dispostos a salvar Notre-Dame e propõe que eles façam o mesmo com os Miseráveis"" disse o filósofo e romancista Olivier Pourriol.  https://t.co/sC1sEyw7Uj"
ja,大阪府阪南市・和歌山県和歌山市・他,RT @raurublock: なるほど、金持ちがノートルダム大聖堂修復のために寄付すると、実は節税のメリットも結構でかいのか。その分社会保障に回る財源も減るとなると、確かに貧乏人は怒るわな https://t.co/eEuv1tkEOF
en,,"Pictures from our trip to Notre Dame in 2014. 🇫🇷 
#Notredame https://t.co/JEZNWOONuE"
en,Arizona,RT @CNN: The bees living on Notre Dame's roof survived the fire https://t.co/VoV5bIKzCc https://t.co/aeRxJXJnsr
en,,"RT @call_me_Stamos: ""Et l'on dit que c'est l'âme de Paris qui s'enflamme,
Quand sonnent,
Les cloches de Notre-Dame""
So devastated by the total destruction of the historical monument of #NotreDame. There are no words to describe my sorrow right now."
sv,"Stockholm, Sverige","RT @zaralarsson: And I'm saying this with the deepest respect for architecture and the history of Notre Dame. What happened is tragic, but it sure puts it into perspective ❤️"
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
es,"Ciudad Autónoma de Buenos Aires, Argentina","RT @clarincom: NOTRE DAME: RESCATARON ENORMES CUADROS
No tienen grandes daños. Ahora estudian cubrir el templo con una lona en previsión de las lluvias previstas para los próximos días. https://t.co/z9ZinIG1ZO https://t.co/Ndf430Eeg3"
en,"Arakawa-ku, Tokyo","RT @JoeStreckert: Those gargoyles on Notre Dame? They're from the 1840s. This week on the Weird History Podcast I talk about the cathedral, what it's been through, and how monuments are always changing. https://t.co/dzEIhp7FIh"
en,,"RT @rocza: ""Notre Dame has housed three beehives on the first floor on a roof over the sacristy, just beneath the rose window, since 2013""–they all survived the fire. 
https://t.co/1bZZ3QhiKr"
en,vegas,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,#smilechile,RT @CNN: The bees living on Notre Dame's roof survived the fire https://t.co/VoV5bIKzCc https://t.co/aeRxJXJnsr
it,,Bruciano Notre Dame per nascondere questa notizia? https://t.co/nNa1wLnWnH di @YouTube
en,London,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
pt,República dos Bestializados,"RT @BLOGdoPEPE: Se Edir Macedo ver o quanto a Catedral de Notre Dame arrecadou em 4 dias ,ele manda tocar fogo no Templo de Salomão"
es,,"RT @aciprensa: Tras el incendio en la Catedral de #NotreDame, el Arzobispo de París presidió un multitudinario Vía Crucis alrededor del templo #ViernesSanto #SemanaSanta. Vía @WSanchezSilva https://t.co/0h3njnJnmr"
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
sv,"Stockholm, Sverige","RT @zaralarsson: I know someone probably already said this but it's so funny to me how the billionaires untied and came up with hundreds of millions for the Notre Dame within days while people still don't have clean water to drink. Yall can fix it, yall just don't care."
en,"Chino, CA","RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
es,Lima-Perú,"RT @danielefecto: ¿A qué hora se ponen tristes por Mesa Redonda? Ah no, no es Notre Dame."
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,biloxi,"RT @OnPointRadio: ""I don't sense that the needle has moved on impeachment,"" @sahilkapur says.

""Democratic leaders set a very high bar.""

https://t.co/kAEzqgc5lm"
es,Tucumán,RT @ActualidadRT: Aprovechan el incendio de Notre Dame para crear una página falsa y pedir donaciones para reconstruirla https://t.co/9hj2MweWCZ
es,Palentino perdido en gipuzkoa,RT @carlosferrersot: Notre Dame antes y después del fuego. https://t.co/uGNDwK2e4N
es,"Las Heras, Argentina",RT @JuaniLop_: Me parece TAN nefasto que sigan donando millones a Notre Dame mientras que Haití se acaba de declarar en estado de emergencia porque no hay NADIE que los ayude
en,Santiago,"RT @oscarjsalg: Para la reconstrucción de la Catedral de Notre Dame, Chile dona a Carmen Hertz como gárgola."
en,Manchester - UK,"RT @evamacalpi: The Bees! The bees! 🐝 😭👏❤️ ""Thousands of bees housed at Notre Dame survived the fire""  https://t.co/3kpYSpgRAG"
en,,"RT @BillyArmagh: Before the news cycle moves on, please notice and absorb this fact: in a few hours, three billionaires shrugged, yawned, and dropped $752,652,500.00 to rebuild Notre Dame, and that was spare change.

Imagine what we’d build if we taxed our resources back from billionaires."
es,,RT @cl4usman: Que se reconstruya Notre Dame y que se acabe justo antes que la Sagrada Familia.
en,,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
en,Terra,Inside Notre-Dame Cathedral after the fire https://t.co/OkGjcTwEiN via @YouTube
en,Prolly at the gym,"RT @BellaLack: Deeply sad about Notre Dame, but shocked at the hypocrisy of humanity. 

We destroy over 150 acres of rainforest every minute and do not give it a second thought, yet fall into mourning at the loss of a building. https://t.co/JgRkrYbQFM"
