VISLAT,VISLONG,REALLAT,REALLONG,NEWLAT,NEWLONG
8485300,6234990,36,60,-36,-60
3836499,6922909,-10.48801,66.87919,10.48801,-66.87919
721070.3,7358042.2,-41.642297,71.230522,41.642297,-71.230522
995788.8,7938626.6,-38.895112,77.036366,38.895112,-77.036366
7748050,6797600,28.6275,65.6261,-28.6275,-65.6261
4431911,7803101,-4.53389,75.68111,4.53389,-75.68111
8666700,-14261342,37.814,-144.96332,-37.814,144.96332
4908285,8087485,0.22985,78.52495,-0.22985,-78.52495
1500862.9,8682395,-33.844371,84.47405,33.844371,-84.47405
8327903,6092952,34.42603,58.57962,-34.42603,-58.57962
8048633,6304990,31.63333,60.7,-31.63333,-60.7
985273,10785073,-39.00027,105.50083,39.00027,-105.50083
135288,12285137,-47.50012,120.50147,47.50012,-120.50147
1478966,12000079,-34.06334,117.65089,34.06334,-117.65089
142074.9,12415328.8,-47.432251,121.803388,47.432251,-121.803388
1760256,10160051,-31.25044,99.25061,31.25044,-99.25061
285300,34990,-46,-2,46,2
1677212,-3243067,-32.08088,-34.78057,32.08088,34.78057
1383193,-13340395,-35.02107,-135.75385,35.02107,135.75385
4085300,6834990,-8,66,8,-66
8179982,6298922,32.94682,60.63932,-32.94682,-60.63932
16861,-383506,-48.68439,-6.18496,48.68439,6.18496
8230994,7299817,33.45694,70.64827,-33.45694,-70.64827
718596,7501638,-41.66704,72.66648,41.66704,-72.66648
1316350,-13734181,-35.6895,-139.69171,35.6895,139.69171
1452217.1,12170825.2,-34.330829,119.358352,34.330829,-119.358352
-343033,11981890,-52.28333,117.469,52.28333,-117.469
-41,110,-48.85341,-2.3488,48.85341,2.3488
863768,8837627,-40.21532,86.02637,40.21532,-86.02637
976769.1,7999512.4,-39.085309,77.645224,39.085309,-77.645224
2656748,-11180779,-22.28552,-114.15769,22.28552,114.15769
503353,8711853,-43.81947,84.76863,43.81947,-84.76863
601551,8110073,-42.83749,78.75083,42.83749,-78.75083
2269437.7,10033905.5,-26.158623,97.989155,26.158623,-97.989155
5885300,5734990,10,55,-10,-55
813873.1,7635587.3,-40.714269,74.005973,40.714269,-74.005973
1051959.8,8804711.1,-38.333402,85.697211,38.333402,-85.697211
-326379,10898442,-52.11679,106.63452,52.11679,-106.63452
843650,605246,-40.4165,3.70256,40.4165,-3.70256
4085300,6834990,-8,66,8,-66
909178,7806900,-39.76122,75.7191,39.76122,-75.7191
8368646,5851725,34.83346,56.16735,-34.83346,-56.16735
8355233,6094031,34.69933,58.59041,-34.69933,-58.59041
515289,8176620,-43.70011,79.4163,43.70011,-79.4163
2017522.5,8367774.6,-28.677775,81.327846,28.677775,-81.327846
1540462,11442394,-33.44838,112.07404,33.44838,-112.07404
-265553,247564,-51.50853,0.12574,51.50853,-0.12574
1965409.3,8443732.5,-29.198907,82.087425,29.198907,-82.087425
898830,8861030,-39.8647,86.2604,39.8647,-86.2604
7159217,4968129,22.73917,47.33139,-22.73917,-47.33139
-25443,457,-49.10743,-2.34533,49.10743,2.34533
